ticker,signal,strength,weighted_sentiment,bullish_pct,bearish_pct,mentions,avg_confidence
FOA,BUY,Moderate,51.66666666666667,88.88888888888889,11.11111111111111,9,68.33333333333333
EH,SELL,Moderate,-51.24999999999999,15.0,85.0,20,72.75
NVDL,BUY,Moderate,51.0,80.0,20.0,5,77.0
ETH,BUY,Moderate,50.98130841121499,84.11214953271028,14.953271028037381,107,71.58878504672897
RDDT,BUY,Moderate,50.952380952380935,85.71428571428571,14.285714285714285,63,70.7936507936508
DIA,BUY,Moderate,50.87378640776701,85.43689320388349,14.563106796116504,103,69.32038834951456
MSOS,BUY,Moderate,50.83333333333334,83.33333333333334,16.666666666666664,6,70.83333333333333
VKTX,BUY,Moderate,50.83333333333333,83.33333333333334,16.666666666666664,6,70.83333333333333
DJI,BUY,Moderate,50.83333333333333,83.33333333333334,16.666666666666664,6,67.5
BTCUS,BUY,Moderate,50.476190476190474,85.71428571428571,14.285714285714285,21,69.04761904761905
PATH,BUY,Moderate,50.35714285714285,85.71428571428571,14.285714285714285,14,71.78571428571429
TMDX,BUY,Moderate,50.000000000000014,83.72093023255815,16.27906976744186,129,71.31782945736434
